"NUMQ","FET","CONTFET","DELICTE","VEHIMV","ONV","CONFADR","MUNI_FET","MUNI_FET_1A3","DISTRICTE_FET","BARRI_FET","BARRI_FET_TOTAMB","ONP","ESTACIO_FET","TRANSP_FET","TRANSP_LINIA_FET","TRANSP_ESTACIO_LINIA_FET","VAL_AFEC","NOT_AGRE_1A3","QUI01_AGRE","SIG","MOT_A","MOT_B","MOT_C","MOT_D","MOT_E","MOT_F","MOT_G","MOT_H","MOT_J","MOT_08","MOT_09","MOT_10","MOT_11","MOT_12","MOT_13","MOT_14","MOT_15","MOT_16","MOT_17","MOT_18","MOT_19","MOT_95","DISTRICTE_RES","SEXE","EDAT1699_1A4","NACIO_ACT_UE","NIVELLSOCIO_LLAR","HAB_PERS_1A4","AMBIT","CONSUM","I_ATRACCIO","PES"
100106,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","SANT MARTÍ","EL BESÒS I EL MARESME","EL BESÒS I EL MARESME","A UN CARRER TRANSITAT",,,,,"7","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","NO","NO","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT MARTÍ","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","NO","MATEIX DISTRICTE",1.68908032508092
100110,"INTENT/S DE ROBATORI AL SEU DOMICILI","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","DOMICILI","NO",,1.97876355642681
100118,"ROBATORI/S DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","LES CORTS","LES CORTS","LES CORTS","A UN CENTRE COMERCIAL, BOTIGA O MERCAT MUNICIPAL",,,,,"5","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","LES CORTS","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","SÍ","MATEIX DISTRICTE",0.571046149619546
100118,"ALTRA ESTAFA O FRAU","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LES CORTS","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","SÍ",,0.571046149619546
100131,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","SANTS - MONTJUÏC","HOSTAFRANCS","HOSTAFRANCS","A UN CENTRE COMERCIAL, BOTIGA O MERCAT MUNICIPAL",,,,,"10 = LI VA AFECTAR MOLTÍSSIM","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SANTS-MONTJUÏC","DONA","DE 65 ANYS I MÉS","ESPANYOLA","BAIX","DUES","SEGURETAT PERSONAL","SÍ","MATEIX DISTRICTE",1.31070822636573
100133,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"ESCALA, L'","FORA DE L'AMB",,,,,,,,,"7","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ","FORA DE BARCELONA",1.97876355642681
100135,"ROBATORI/S A LA SEGONA RESIDÈNCIA","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANTS-MONTJUÏC","HOME","DE 65 ANYS I MÉS","ESPANYOLA","BAIX","DUES","SEGONA RESIDÈNCIA","SÍ",,1.34868358188038
100138,"ROBATORI/S DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","SANT ANDREU","LA SAGRERA","LA SAGRERA","A UN BAR O RESTAURANT",,,,,"2","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT ANDREU","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ","MATEIX DISTRICTE",1.07152731075039
100141,"CÀRRECS INDEGUTS A LA TARGETA BANCÀRIA O EXTRACCIÓ DE COMPTES BANCARIS","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANT ANDREU","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ",,1.07152731075039
100141,"CÀRRECS INDEGUTS A LA TARGETA BANCÀRIA O EXTRACCIÓ DE COMPTES BANCARIS","SEGON CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANT ANDREU","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ",,1.07152731075039
100141,"CÀRRECS INDEGUTS A LA TARGETA BANCÀRIA O EXTRACCIÓ DE COMPTES BANCARIS","TERCER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANT ANDREU","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ",,1.07152731075039
100146,"ALTRA ESTAFA O FRAU","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LES CORTS","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ",,0.625573567442003
100151,"INTENT/S DE ROBATORI DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"METRO","METRO - LÍNIA 5 (BLAVA)","L5","3","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","NO","NO","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.25549038406411
100155,"ROBATORI/S A LA SEGONA RESIDÈNCIA","PRIMER CAS","SÍ",,,,"LLORET DE MAR","FORA DE L'AMB",,,,,,,,,"6","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","HOME","DE 65 ANYS I MÉS","ESPANYOLA","ALT","DUES","SEGONA RESIDÈNCIA","SÍ","FORA DE BARCELONA",1.01193153224317
100155,"INTENT/S DE ROBATORI A LA SEGONA RESIDÈNCIA","PRIMER CAS","SÍ",,,,"LLORET DE MAR","FORA DE L'AMB",,,,,,,,,"5","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","HOME","DE 65 ANYS I MÉS","ESPANYOLA","ALT","DUES","SEGONA RESIDÈNCIA","NO","FORA DE BARCELONA",1.01193153224317
100156,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","SANT MARTÍ","SANT MARTÍ DE PROVENÇALS","SANT MARTÍ DE PROVENÇALS","A UN CENTRE COMERCIAL, BOTIGA O MERCAT MUNICIPAL",,,,,"2","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SANT MARTÍ","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","SÍ","MATEIX DISTRICTE",1.68908032508092
100160,"ROBATORI/S AL SEU DOMICILI","PRIMER CAS","SÍ",,,"SÍ","BARCELONA","BARCELONA","SANT ANDREU","EL CONGRÉS I ELS INDIANS","EL CONGRÉS I ELS INDIANS",,,,,,"10 = LI VA AFECTAR MOLTÍSSIM","SÍ","SÍ, DE VISTA","SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SANT ANDREU","DONA","DE 65 ANYS I MÉS","ESPANYOLA","BAIX","NO CONTESTA","DOMICILI","SÍ","MATEIX DISTRICTE",1.07782994328328
100168,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","A UNA ESTACIÓ DE TREN, METRO, FGC, AEROPORT O TERMINAL-ESTACIÓ D'AUTOBUSOS (VESTÍBULS, ANDANES, ESCALES,...)","ARC DEL TRIOMF (METRO, RENFE)",,,"ARC DEL TRIOMF (METRO, RENFE)","8","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","NO","NO","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NOU BARRIS","DONA","DE 65 ANYS I MÉS","ESPANYOLA","BAIX","TRES","SEGURETAT PERSONAL","SÍ","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.21318695494302
100170,"ROBATORI/S AL SEU DOMICILI","PRIMER CAS","SÍ",,,"SÍ","BARCELONA","BARCELONA","EIXAMPLE","L'ANTIGA ESQUERRA DE L'EIXAMPLE","L'ANTIGA ESQUERRA DE L'EIXAMPLE",,,,,,"9","SÍ","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","DOMICILI","SÍ","MATEIX DISTRICTE",1.97876355642681
100170,"INTENT/S DE ROBATORI AL SEU DOMICILI","PRIMER CAS","SÍ",,,"SÍ","BARCELONA","BARCELONA","EIXAMPLE","L'ANTIGA ESQUERRA DE L'EIXAMPLE","L'ANTIGA ESQUERRA DE L'EIXAMPLE",,,,,,"0 = NO LI VA AFECTAR GENS","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","DOMICILI","NO","MATEIX DISTRICTE",1.97876355642681
100170,"ROBATORI/S A LA SEGONA RESIDÈNCIA","PRIMER CAS","SÍ",,,,"CASTELL-PLATJA D'ARO","FORA DE L'AMB",,,,,,,,,"1","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGONA RESIDÈNCIA","SÍ","FORA DE BARCELONA",1.97876355642681
100170,"ROBATORI/S A LA SEGONA RESIDÈNCIA","SEGON CAS","SÍ",,,,"CASTELL-PLATJA D'ARO","FORA DE L'AMB",,,,,,,,,"6","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGONA RESIDÈNCIA","SÍ","FORA DE BARCELONA",1.97876355642681
100170,"INTIMIDACIONS, COACCIONS O AMENACES","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","EIXAMPLE","L'ANTIGA ESQUERRA DE L'EIXAMPLE","L'ANTIGA ESQUERRA DE L'EIXAMPLE","A UN CARRER TRANSITAT",,,,,"5","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","NO","NO","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ","MATEIX DISTRICTE",1.97876355642681
100172,"ROBATORI/S DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","EIXAMPLE","LA DRETA DE L'EIXAMPLE","LA DRETA DE L'EIXAMPLE","A UN CARRER TRANSITAT",,,,,"0 = NO LI VA AFECTAR GENS","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","NO","NO","SÍ","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 65 ANYS I MÉS","ESPANYOLA","ALT","DUES","SEGURETAT PERSONAL","SÍ","ALTRES DISTRICTES",1.25549038406411
100179,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","SANT MARTÍ","SANT MARTÍ DE PROVENÇALS","SANT MARTÍ DE PROVENÇALS","A UN CENTRE COMERCIAL, BOTIGA O MERCAT MUNICIPAL",,,,,"7","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","NO","NO","NO","NO","NO","NO","NO","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT MARTÍ","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ","MATEIX DISTRICTE",1.68908032508092
